date,user_id,operator_id_export,direction,direction_label,internal,internal_label,calls,missed_calls,call_duration_sum,total_call_duration_sum,wait_time_sum
2019-08-02,166392,desconocido,in,Entrante,False,Externa,1,1,0,2,2
2019-08-02,166406,879896,out,Saliente,False,Externa,11,8,7,249,242
2019-08-02,166406,879896,out,Saliente,True,Interna,2,0,24,36,12
2019-08-02,166406,879898,out,Saliente,False,Externa,5,4,132,198,66
2019-08-02,166406,880240,out,Saliente,True,Interna,1,1,0,4,4
2019-08-02,166406,desconocido,in,Entrante,False,Externa,1,1,0,4,4
2019-08-03,166405,desconocido,in,Entrante,False,Externa,1,1,0,2,2
2019-08-03,166406,879896,in,Entrante,False,Externa,1,0,6,15,9
2019-08-03,166406,879896,out,Saliente,False,Externa,10,7,48,302,254
2019-08-03,166406,879898,out,Saliente,False,Externa,15,1,898,1092,194
2019-08-03,166406,879898,out,Saliente,True,Interna,1,0,10,15,5
2019-08-03,166406,desconocido,in,Entrante,False,Externa,2,2,0,28,28
2019-08-04,166377,desconocido,in,Entrante,False,Externa,2,2,0,4,4
2019-08-04,166406,879896,out,Saliente,False,Externa,2,1,114,140,26
2019-08-04,166406,880240,out,Saliente,True,Interna,2,2,0,9,9
2019-08-05,166377,880020,out,Saliente,False,Externa,18,16,3,129,126
2019-08-05,166377,880020,out,Saliente,True,Interna,2,1,10,19,9
2019-08-05,166377,880022,out,Saliente,False,Externa,3,3,0,25,25
2019-08-05,166377,880022,out,Saliente,True,Interna,3,3,0,5,5
2019-08-05,166377,desconocido,in,Entrante,False,Externa,6,6,0,35,35
2019-08-05,166406,879896,in,Entrante,False,Externa,1,0,110,120,10
2019-08-05,166406,879896,out,Saliente,False,Externa,26,1,1785,2007,222
2019-08-05,166406,879896,out,Saliente,True,Interna,2,0,14,30,16
2019-08-05,166406,879898,in,Entrante,False,Externa,2,0,181,190,9
2019-08-05,166406,879898,out,Saliente,False,Externa,134,31,5445,7017,1572
2019-08-05,166406,desconocido,in,Entrante,False,Externa,1,1,0,14,14
2019-08-05,166428,desconocido,in,Entrante,False,Externa,2,2,0,59,59
2019-08-06,166377,880020,out,Saliente,False,Externa,10,5,800,889,89
2019-08-06,166377,881278,out,Saliente,False,Externa,3,3,0,29,29
2019-08-06,166377,881278,out,Saliente,True,Interna,2,2,0,5,5
2019-08-06,166377,desconocido,in,Entrante,False,Externa,4,4,0,62,62
2019-08-06,166391,882476,in,Entrante,False,Externa,1,0,175,186,11
2019-08-06,166391,desconocido,in,Entrante,True,Interna,3,3,0,163,163
2019-08-06,166392,desconocido,in,Entrante,False,Externa,1,1,0,3,3
2019-08-06,166405,882684,out,Saliente,False,Externa,2,1,11,32,21
2019-08-06,166405,desconocido,in,Entrante,False,Externa,35,35,0,18,18
2019-08-06,166406,879896,in,Entrante,False,Externa,6,0,806,845,39
2019-08-06,166406,879896,out,Saliente,False,Externa,77,7,8238,9140,902
2019-08-06,166406,879896,out,Saliente,True,Interna,4,1,235,261,26
2019-08-06,166406,879898,out,Saliente,False,Externa,112,30,4910,5960,1050
2019-08-06,166406,880240,out,Saliente,False,Externa,2,0,341,357,16
2019-08-06,166406,desconocido,in,Entrante,False,Externa,1,1,0,91,91
2019-08-06,166428,desconocido,in,Entrante,False,Externa,1,1,0,52,52
2019-08-07,166377,880020,out,Saliente,False,Externa,2,0,232,240,8
2019-08-07,166377,880026,out,Saliente,False,Externa,2,1,21,45,24
2019-08-07,166377,880028,out,Saliente,False,Externa,1,1,0,15,15
2019-08-07,166377,desconocido,in,Entrante,False,Externa,2,2,0,24,24
2019-08-07,166391,882478,in,Entrante,False,Externa,1,0,57,70,13
2019-08-07,166391,882478,in,Entrante,True,Interna,2,0,11,74,63
2019-08-07,166391,882478,out,Saliente,True,Interna,1,1,0,7,7
2019-08-07,166391,desconocido,in,Entrante,False,Externa,2,2,0,71,71
2019-08-07,166406,879896,out,Saliente,False,Externa,23,8,2838,3180,342
2019-08-07,166406,879898,in,Entrante,False,Externa,1,0,40,55,15
2019-08-07,166406,879898,out,Saliente,False,Externa,154,34,6983,8526,1543
2019-08-07,166406,desconocido,in,Entrante,False,Externa,1,1,0,4,4
2019-08-07,166428,882680,in,Entrante,False,Externa,2,0,41,92,51
2019-08-07,166507,883018,out,Saliente,False,Externa,2,2,0,15,15
2019-08-07,166507,883898,out,Saliente,False,Externa,1,0,70,80,10
2019-08-07,166507,desconocido,in,Entrante,False,Externa,1,1,0,2,2
2019-08-08,166377,880022,out,Saliente,False,Externa,6,4,558,596,38
2019-08-08,166391,desconocido,in,Entrante,False,Externa,1,1,0,20,20
2019-08-08,166406,879896,in,Entrante,False,Externa,2,0,42,54,12
2019-08-08,166406,879896,out,Saliente,False,Externa,24,5,1132,1532,400
2019-08-08,166406,879898,in,Entrante,False,Externa,2,0,10,34,24
2019-08-08,166406,879898,out,Saliente,False,Externa,193,37,8480,10205,1725
2019-08-08,166406,880240,out,Saliente,False,Externa,2,0,30,40,10
2019-08-08,166428,882680,in,Entrante,False,Externa,2,0,92,122,30
2019-08-08,166481,desconocido,in,Entrante,False,Externa,2,2,0,0,0
2019-08-08,166482,desconocido,in,Entrante,False,Externa,1,1,0,2,2
2019-08-08,166487,desconocido,in,Entrante,False,Externa,1,1,0,2,2
2019-08-08,166495,883940,out,Saliente,False,Externa,53,23,2030,2568,538
2019-08-08,166495,883942,in,Entrante,False,Externa,1,0,34,42,8
2019-08-08,166495,883942,out,Saliente,False,Externa,59,17,4158,4783,625
2019-08-08,166503,884412,out,Saliente,False,Externa,3,1,50,71,21
2019-08-08,166503,884412,out,Saliente,True,Interna,3,3,0,36,36
2019-08-08,166503,desconocido,in,Entrante,True,Interna,1,1,0,11,11
2019-08-08,166533,884478,in,Entrante,False,Externa,1,0,79,94,15
2019-08-08,166533,884478,out,Saliente,False,Externa,20,14,152,513,361
2019-08-08,166548,desconocido,in,Entrante,False,Externa,1,1,0,2,2
2019-08-09,166377,880022,out,Saliente,False,Externa,2,2,0,10,10
2019-08-09,166377,880028,out,Saliente,False,Externa,19,2,1603,1727,124
2019-08-09,166391,desconocido,in,Entrante,False,Externa,1,1,0,33,33
2019-08-09,166406,879896,in,Entrante,False,Externa,1,0,464,469,5
2019-08-09,166406,879896,out,Saliente,False,Externa,37,19,1090,1997,907
2019-08-09,166406,879896,out,Saliente,True,Interna,1,0,446,450,4
2019-08-09,166406,879898,in,Entrante,False,Externa,2,0,92,109,17
2019-08-09,166406,879898,out,Saliente,False,Externa,127,24,5178,6551,1373
2019-08-09,166406,880240,out,Saliente,False,Externa,3,2,80,189,109
2019-08-09,166406,880240,out,Saliente,True,Interna,2,2,0,0,0
2019-08-09,166428,882680,in,Entrante,False,Externa,2,0,71,102,31
2019-08-09,166481,884294,in,Entrante,False,Externa,1,0,5,11,6
2019-08-09,166481,desconocido,in,Entrante,False,Externa,18,18,0,8,8
2019-08-09,166482,desconocido,in,Entrante,False,Externa,1,1,0,2,2
2019-08-09,166495,883940,out,Saliente,False,Externa,62,30,1203,2737,1534
2019-08-09,166495,883942,in,Entrante,False,Externa,2,0,55,64,9
2019-08-09,166495,883942,out,Saliente,False,Externa,38,14,2582,3129,547
2019-08-09,166503,884408,in,Entrante,False,Externa,4,0,445,506,61
2019-08-09,166503,884408,in,Entrante,True,Interna,3,0,64,163,99
2019-08-09,166503,884408,out,Saliente,False,Externa,5,4,9,107,98
2019-08-09,166503,desconocido,in,Entrante,False,Externa,1,1,0,30,30
2019-08-09,166503,desconocido,in,Entrante,True,Interna,5,5,0,123,123
2019-08-09,166520,desconocido,in,Entrante,False,Externa,5,5,0,24,24
2019-08-09,166533,884478,out,Saliente,False,Externa,61,36,1362,2061,699
2019-08-09,166533,884478,out,Saliente,True,Interna,2,2,0,0,0
2019-08-09,166548,desconocido,in,Entrante,False,Externa,6,6,0,50,50
2019-08-09,166554,desconocido,in,Entrante,True,Interna,2,2,0,8,8
2019-08-10,166391,desconocido,in,Entrante,True,Interna,1,1,0,38,38
2019-08-10,166406,879896,out,Saliente,False,Externa,2,1,75,145,70
2019-08-10,166428,882680,in,Entrante,False,Externa,2,0,110,147,37
2019-08-10,166482,desconocido,in,Entrante,False,Externa,1,1,0,2,2
2019-08-10,166520,885682,out,Saliente,False,Externa,1,1,0,18,18
2019-08-10,166548,desconocido,in,Entrante,False,Externa,5,5,0,125,125
2019-08-11,166503,desconocido,in,Entrante,False,Externa,1,1,0,6,6
2019-08-11,166548,desconocido,in,Entrante,False,Externa,1,1,0,16,16
2019-08-12,166377,880028,in,Entrante,False,Externa,1,0,407,411,4
2019-08-12,166377,880028,out,Saliente,False,Externa,20,0,2074,2191,117
2019-08-12,166377,880028,out,Saliente,True,Interna,1,1,0,26,26
2019-08-12,166377,desconocido,in,Entrante,False,Externa,4,4,0,68,68
2019-08-12,166392,desconocido,in,Entrante,False,Externa,6,6,0,14,14
2019-08-12,166399,desconocido,in,Entrante,False,Externa,2,1,10,111,101
2019-08-12,166405,882684,out,Saliente,False,Externa,1,1,0,74,74
2019-08-12,166405,desconocido,in,Entrante,False,Externa,46,46,0,2,2
2019-08-12,166406,879896,out,Saliente,False,Externa,60,12,7676,8538,862
2019-08-12,166406,879898,out,Saliente,False,Externa,61,11,2782,3471,689
2019-08-12,166406,desconocido,in,Entrante,False,Externa,1,1,0,3,3
2019-08-12,166428,882680,in,Entrante,False,Externa,2,0,305,328,23
2019-08-12,166481,desconocido,in,Entrante,False,Externa,17,17,0,33,33
2019-08-12,166482,desconocido,in,Entrante,False,Externa,2,2,0,5,5
2019-08-12,166495,883940,out,Saliente,False,Externa,41,8,1733,2283,550
2019-08-12,166495,883942,out,Saliente,False,Externa,46,16,3135,3840,705
2019-08-12,166495,desconocido,in,Entrante,False,Externa,6,6,0,2,2
2019-08-12,166503,884408,in,Entrante,False,Externa,1,0,19,62,43
2019-08-12,166503,884408,in,Entrante,True,Interna,1,1,38,69,31
2019-08-12,166503,884408,out,Saliente,False,Externa,1,0,21,111,90
2019-08-12,166503,884408,out,Saliente,True,Interna,5,5,0,273,273
2019-08-12,166503,884412,in,Entrante,True,Interna,1,0,54,75,21
2019-08-12,166503,884412,out,Saliente,False,Externa,38,16,1478,2183,705
2019-08-12,166503,884412,out,Saliente,True,Interna,14,12,170,391,221
2019-08-12,166503,desconocido,in,Entrante,False,Externa,1,1,0,5,5
2019-08-12,166503,desconocido,in,Entrante,True,Interna,8,8,0,174,174
2019-08-12,166533,884478,out,Saliente,False,Externa,111,68,2069,3977,1908
2019-08-12,166582,885876,in,Entrante,False,Externa,9,0,387,473,86
2019-08-12,166582,885876,out,Saliente,False,Externa,587,219,41492,53991,12499
2019-08-12,166582,885890,in,Entrante,False,Externa,5,0,532,570,38
2019-08-12,166582,885890,out,Saliente,False,Externa,294,113,18953,26040,7087
2019-08-12,166582,desconocido,in,Entrante,False,Externa,9,9,0,79,79
2019-08-13,166377,880026,out,Saliente,False,Externa,4,0,258,287,29
2019-08-13,166377,880026,out,Saliente,True,Interna,2,2,0,23,23
2019-08-13,166377,880028,in,Entrante,False,Externa,1,0,88,102,14
2019-08-13,166377,880028,out,Saliente,False,Externa,11,1,647,848,201
2019-08-13,166377,880028,out,Saliente,True,Interna,1,1,0,16,16
2019-08-13,166377,desconocido,in,Entrante,False,Externa,7,7,0,128,128
2019-08-13,166392,desconocido,in,Entrante,False,Externa,3,3,0,17,17
2019-08-13,166405,desconocido,in,Entrante,False,Externa,52,52,0,0,0
2019-08-13,166406,879896,out,Saliente,False,Externa,19,1,1933,2103,170
2019-08-13,166406,879898,out,Saliente,False,Externa,115,13,7606,8916,1310
2019-08-13,166428,882680,in,Entrante,False,Externa,5,0,466,568,102
2019-08-13,166428,desconocido,in,Entrante,False,Externa,1,1,0,20,20
2019-08-13,166481,desconocido,in,Entrante,False,Externa,2,2,0,2,2
2019-08-13,166482,desconocido,in,Entrante,False,Externa,1,1,0,2,2
2019-08-13,166485,887280,out,Saliente,False,Externa,4,3,10,20,10
2019-08-13,166495,883940,in,Entrante,False,Externa,2,0,22,50,28
2019-08-13,166495,883940,out,Saliente,False,Externa,35,12,918,1618,700
2019-08-13,166495,883942,in,Entrante,False,Externa,4,0,594,611,17
2019-08-13,166495,883942,out,Saliente,False,Externa,67,32,2884,3794,910
2019-08-13,166495,desconocido,in,Entrante,False,Externa,1,1,0,1,1
2019-08-13,166503,884412,out,Saliente,False,Externa,68,28,3528,4832,1304
2019-08-13,166503,desconocido,in,Entrante,False,Externa,1,1,0,2,2
2019-08-13,166503,desconocido,in,Entrante,True,Interna,2,2,0,40,40
2019-08-13,166520,desconocido,in,Entrante,False,Externa,1,1,0,6,6
2019-08-13,166533,884478,in,Entrante,False,Externa,2,0,205,227,22
2019-08-13,166533,884478,out,Saliente,False,Externa,104,63,2249,3667,1418
2019-08-13,166533,884478,out,Saliente,True,Interna,1,1,0,0,0
2019-08-13,166548,desconocido,in,Entrante,False,Externa,12,12,0,174,174
2019-08-13,166582,885876,in,Entrante,False,Externa,12,0,613,745,132
2019-08-13,166582,885876,out,Saliente,False,Externa,450,185,30422,41484,11062
2019-08-13,166582,885890,in,Entrante,False,Externa,17,2,1243,1460,217
2019-08-13,166582,885890,out,Saliente,False,Externa,490,182,35126,47225,12099
2019-08-13,166582,desconocido,in,Entrante,False,Externa,6,6,0,35,35
2019-08-13,166582,desconocido,out,Saliente,False,Externa,1,1,0,0,0
2019-08-13,166609,886146,out,Saliente,False,Externa,2,1,9,27,18
2019-08-13,166649,desconocido,in,Entrante,False,Externa,16,16,0,0,0
2019-08-14,166377,880026,in,Entrante,False,Externa,2,0,197,218,21
2019-08-14,166377,880026,out,Saliente,False,Externa,27,7,3134,3346,212
2019-08-14,166377,880026,out,Saliente,True,Interna,2,2,0,0,0
2019-08-14,166377,880028,in,Entrante,False,Externa,1,0,33,37,4
2019-08-14,166377,880028,out,Saliente,False,Externa,25,7,2686,2887,201
2019-08-14,166377,desconocido,in,Entrante,False,Externa,2,2,0,6,6
2019-08-14,166392,desconocido,in,Entrante,False,Externa,2,2,0,12,12
2019-08-14,166405,desconocido,in,Entrante,False,Externa,44,44,0,0,0
2019-08-14,166406,879896,in,Entrante,False,Externa,3,0,538,561,23
2019-08-14,166406,879896,out,Saliente,False,Externa,21,8,2023,2508,485
2019-08-14,166406,879898,in,Entrante,False,Externa,1,0,165,177,12
2019-08-14,166406,879898,out,Saliente,False,Externa,91,19,5360,6218,858
2019-08-14,166406,desconocido,in,Entrante,False,Externa,1,1,0,48,48
2019-08-14,166407,888534,out,Saliente,False,Externa,2,0,20,44,24
2019-08-14,166407,desconocido,in,Entrante,False,Externa,3,3,0,15,15
2019-08-14,166482,desconocido,in,Entrante,False,Externa,1,1,0,2,2
2019-08-14,166487,desconocido,in,Entrante,False,Externa,1,1,0,3,3
2019-08-14,166495,883940,out,Saliente,False,Externa,60,19,2142,3058,916
2019-08-14,166495,883942,in,Entrante,False,Externa,3,0,263,280,17
2019-08-14,166495,883942,out,Saliente,False,Externa,68,25,2803,3876,1073
2019-08-14,166495,desconocido,in,Entrante,False,Externa,2,2,0,0,0
2019-08-14,166503,884412,out,Saliente,False,Externa,2,0,63,123,60
2019-08-14,166520,885682,out,Saliente,False,Externa,1,1,0,25,25
2019-08-14,166520,desconocido,in,Entrante,False,Externa,2,2,0,10,10
2019-08-14,166533,884478,in,Entrante,False,Externa,3,0,264,303,39
2019-08-14,166533,884478,out,Saliente,False,Externa,101,53,2928,4193,1265
2019-08-14,166533,desconocido,in,Entrante,False,Externa,1,1,0,23,23
2019-08-14,166582,885876,in,Entrante,False,Externa,11,0,542,661,119
2019-08-14,166582,885876,out,Saliente,False,Externa,347,177,21756,31006,9250
2019-08-14,166582,885890,in,Entrante,False,Externa,5,0,268,304,36
2019-08-14,166582,885890,out,Saliente,False,Externa,462,232,30890,43013,12123
2019-08-14,166582,desconocido,in,Entrante,False,Externa,6,6,0,76,76
2019-08-14,166609,886146,out,Saliente,False,Externa,3,2,9,41,32
2019-08-14,166609,887992,out,Saliente,False,Externa,20,6,607,955,348
2019-08-14,166636,desconocido,in,Entrante,False,Externa,1,1,0,2,2
2019-08-14,166649,887416,in,Entrante,False,Externa,1,0,1,18,17
2019-08-14,166658,desconocido,in,Entrante,False,Externa,2,2,0,4,4
2019-08-14,166669,888406,in,Entrante,False,Externa,1,0,6,37,31
2019-08-14,166669,888406,out,Saliente,False,Externa,1,1,0,22,22
2019-08-14,166669,desconocido,in,Entrante,False,Externa,5,5,0,102,102
2019-08-14,166671,desconocido,in,Entrante,False,Externa,1,1,0,4,4
2019-08-15,166377,880026,out,Saliente,False,Externa,37,15,2826,3276,450
2019-08-15,166377,880028,in,Entrante,False,Externa,1,0,23,27,4
2019-08-15,166377,880028,out,Saliente,False,Externa,27,8,2653,3237,584
2019-08-15,166391,desconocido,in,Entrante,True,Interna,2,2,0,77,77
2019-08-15,166399,886674,in,Entrante,False,Externa,2,0,74,93,19
2019-08-15,166405,882684,out,Saliente,False,Externa,2,0,302,306,4
2019-08-15,166405,882686,out,Saliente,False,Externa,3,2,33,95,62
2019-08-15,166406,879896,out,Saliente,False,Externa,11,2,442,625,183
2019-08-15,166406,879898,in,Entrante,False,Externa,1,0,100,117,17
2019-08-15,166406,879898,out,Saliente,False,Externa,144,14,7630,8932,1302
2019-08-15,166428,882680,in,Entrante,False,Externa,1,0,38,53,15
2019-08-15,166485,887280,out,Saliente,False,Externa,1,0,21,30,9
2019-08-15,166485,desconocido,in,Entrante,False,Externa,3,3,0,38,38
2019-08-15,166495,883940,out,Saliente,False,Externa,47,17,1360,2366,1006
2019-08-15,166495,883942,out,Saliente,False,Externa,36,6,3359,3683,324
2019-08-15,166503,884412,out,Saliente,False,Externa,41,12,3005,3738,733
2019-08-15,166503,884412,out,Saliente,True,Interna,2,1,59,87,28
2019-08-15,166503,desconocido,in,Entrante,False,Externa,4,4,0,36,36
2019-08-15,166520,desconocido,in,Entrante,False,Externa,1,1,0,6,6
2019-08-15,166533,884478,in,Entrante,False,Externa,3,0,233,291,58
2019-08-15,166533,884478,out,Saliente,False,Externa,111,47,3235,4722,1487
2019-08-15,166533,desconocido,in,Entrante,False,Externa,1,1,0,46,46
2019-08-15,166582,885876,in,Entrante,False,Externa,4,0,180,196,16
2019-08-15,166582,885876,out,Saliente,False,Externa,239,127,17547,23727,6180
2019-08-15,166582,885890,in,Entrante,False,Externa,20,0,1877,2056,179
2019-08-15,166582,885890,out,Saliente,False,Externa,657,240,42258,57961,15703
2019-08-15,166582,desconocido,in,Entrante,False,Externa,16,16,0,186,186
