user_id,operator_id,in_attempts,in_missed,wait_sum_all,wait_sum_answered,out_count,total_calls,internal_calls,answered_in,in_missed_rate,asa,avg_wait_in_all,internal_share,outbound_enabled
166377,880020,8,0,58,58,46,54,4,8,0.0,7.25,7.25,0.07407407407407407,True
166377,880022,8,0,112,112,211,219,15,8,0.0,14.0,14.0,0.0684931506849315,True
166377,880026,25,0,150,150,2414,2439,21,25,0.0,6.0,6.0,0.008610086100861008,True
166377,880028,70,0,398,398,2836,2906,9,70,0.0,5.685714285714286,5.685714285714286,0.0030970406056434964,True
166377,881278,0,0,0,0,20,20,8,0,,,,0.4,True
166391,882476,3,0,95,95,0,3,0,3,0.0,31.666666666666668,31.666666666666668,0.0,False
166391,882478,3,0,76,76,1,4,3,3,0.0,25.333333333333332,25.333333333333332,0.75,True
166392,886892,2,0,58,58,0,2,0,2,0.0,29.0,29.0,0.0,False
166392,891900,36,0,1338,1338,0,36,0,36,0.0,37.166666666666664,37.166666666666664,0.0,False
166392,891906,77,0,2043,2043,0,77,0,77,0.0,26.532467532467532,26.532467532467532,0.0,False
166399,886674,14,0,193,193,0,14,0,14,0.0,13.785714285714286,13.785714285714286,0.0,False
166405,882684,643,4,9970,9904,721,1364,10,639,0.006220839813374806,15.499217527386541,15.505443234836703,0.007331378299120235,True
166405,882686,837,6,12066,11995,3094,3931,10,831,0.007168458781362007,14.434416365824308,14.415770609318997,0.0025438819638768763,True
166405,882688,20,0,853,853,62,82,0,20,0.0,42.65,42.65,0.0,True
166405,882690,176,2,7196,7076,1590,1766,1,174,0.011363636363636364,40.666666666666664,40.88636363636363,0.0005662514156285391,True
166405,902510,137,2,4461,4395,1980,2117,1,135,0.014598540145985401,32.55555555555556,32.56204379562044,0.0004723665564478035,True
166405,902532,277,1,4479,4368,939,1216,11,276,0.0036101083032490976,15.826086956521738,16.169675090252706,0.009046052631578948,True
166405,939470,19,0,257,257,729,748,2,19,0.0,13.526315789473685,13.526315789473685,0.00267379679144385,True
166405,939474,217,0,3202,3202,603,820,0,217,0.0,14.755760368663594,14.755760368663594,0.0,True
166405,939476,54,1,496,491,877,931,0,53,0.018518518518518517,9.264150943396226,9.185185185185185,0.0,True
166405,939478,22,1,613,605,105,127,3,21,0.045454545454545456,28.80952380952381,27.863636363636363,0.023622047244094488,True
166406,879896,60,0,619,619,1071,1131,58,60,0.0,10.316666666666666,10.316666666666666,0.05128205128205128,True
166406,879898,118,0,1805,1805,7856,7974,19,118,0.0,15.296610169491526,15.296610169491526,0.002382743917732631,True
166406,880240,0,0,0,0,49,49,7,0,,,,0.14285714285714285,True
166407,888532,12,2,289,183,206,218,205,10,0.16666666666666666,18.3,24.083333333333332,0.9403669724770642,True
166407,888534,61,2,1756,1710,337,398,99,59,0.03278688524590164,28.983050847457626,28.78688524590164,0.24874371859296482,True
166407,888536,2,0,43,43,58,60,57,2,0.0,21.5,21.5,0.95,True
166407,888538,1,0,24,24,6,7,4,1,0.0,24.0,24.0,0.5714285714285714,True
166407,888540,3,0,59,59,17,20,16,3,0.0,19.666666666666668,19.666666666666668,0.8,True
166407,907440,6,0,143,143,191,197,158,6,0.0,23.833333333333332,23.833333333333332,0.8020304568527918,True
166407,907442,0,0,0,0,93,93,47,0,,,,0.5053763440860215,True
166407,960950,0,0,0,0,19,19,19,0,,,,1.0,True
166428,882680,109,3,1707,1614,0,109,2,106,0.027522935779816515,15.226415094339623,15.660550458715596,0.01834862385321101,False
166428,898676,3,0,25,25,0,3,0,3,0.0,8.333333333333334,8.333333333333334,0.0,False
166428,928202,32,0,506,506,0,32,1,32,0.0,15.8125,15.8125,0.03125,False
166481,884294,1,0,6,6,0,1,0,1,0.0,6.0,6.0,0.0,False
166482,934074,38,1,545,531,0,38,0,37,0.02631578947368421,14.35135135135135,14.342105263157896,0.0,False
166482,934076,11,1,311,266,0,11,0,10,0.09090909090909091,26.6,28.272727272727273,0.0,False
166485,887276,458,3,12836,12732,963,1421,290,455,0.006550218340611353,27.982417582417582,28.026200873362445,0.20408163265306123,True
166485,887278,54,0,929,929,274,328,240,54,0.0,17.203703703703702,17.203703703703702,0.7317073170731707,True
166485,887280,0,0,0,0,8,8,0,0,,,,0.0,True
166485,887282,29,0,1321,1321,2423,2452,5,29,0.0,45.55172413793103,45.55172413793103,0.0020391517128874386,True
166485,906866,0,0,0,0,655,655,13,0,,,,0.01984732824427481,True
166485,907174,10,0,623,623,2863,2873,9,10,0.0,62.3,62.3,0.003132613992342499,True
166487,959312,58,7,435,420,156,214,49,51,0.1206896551724138,8.235294117647058,7.5,0.22897196261682243,True
166495,883940,8,0,100,100,686,694,0,8,0.0,12.5,12.5,0.0,True
166495,883942,99,0,654,654,2228,2327,1,99,0.0,6.606060606060606,6.606060606060606,0.0004297378599054577,True
166503,884402,0,0,0,0,4,4,3,0,,,,0.75,True
166503,884406,0,0,0,0,6,6,6,0,,,,1.0,True
166503,884408,41,4,1074,992,25,66,20,37,0.0975609756097561,26.81081081081081,26.195121951219512,0.30303030303030304,True
166503,884412,20,0,820,820,843,863,23,20,0.0,41.0,41.0,0.026651216685979143,True
166503,906680,215,2,7945,7914,170,385,35,213,0.009302325581395349,37.15492957746479,36.95348837209303,0.09090909090909091,True
166503,925106,23,0,650,650,0,23,4,23,0.0,28.26086956521739,28.26086956521739,0.17391304347826086,False
166507,883018,0,0,0,0,2,2,0,0,,,,0.0,True
166507,883898,0,0,0,0,1,1,0,0,,,,0.0,True
166511,891410,742,2,9752,9731,3031,3773,88,740,0.0026954177897574125,13.15,13.142857142857142,0.023323615160349854,True
166511,891414,528,1,6271,6256,2846,3374,124,527,0.001893939393939394,11.870967741935484,11.87689393939394,0.036751630112625965,True
166511,891416,152,0,2331,2331,814,966,62,152,0.0,15.335526315789474,15.335526315789474,0.06418219461697723,True
166520,884946,12,0,159,159,2030,2042,2,12,0.0,13.25,13.25,0.0009794319294809011,True
166520,885682,0,0,0,0,3,3,0,0,,,,0.0,True
166520,890232,0,0,0,0,39,39,0,0,,,,0.0,True
166520,890234,0,0,0,0,1,1,0,0,,,,0.0,True
166520,891192,0,0,0,0,1,1,0,0,,,,0.0,True
166520,892028,0,0,0,0,1554,1554,4,0,,,,0.002574002574002574,True
166520,893674,0,0,0,0,2701,2701,5,0,,,,0.0018511662347278786,True
166520,897894,0,0,0,0,19,19,0,0,,,,0.0,True
166520,909452,0,0,0,0,8,8,0,0,,,,0.0,True
166520,910902,0,0,0,0,17,17,0,0,,,,0.0,True
166520,910926,0,0,0,0,25,25,0,0,,,,0.0,True
166520,923250,0,0,0,0,182,182,0,0,,,,0.0,True
166520,923254,1,0,45,45,9,10,0,1,0.0,45.0,45.0,0.0,True
166520,930510,2,0,44,44,2,4,0,2,0.0,22.0,22.0,0.0,True
166520,930524,0,0,0,0,28,28,0,0,,,,0.0,True
166520,939236,0,0,0,0,5,5,0,0,,,,0.0,True
166520,947480,0,0,0,0,5,5,4,0,,,,0.8,True
166520,969600,0,0,0,0,29,29,0,0,,,,0.0,True
166533,884478,25,0,345,345,2336,2361,4,25,0.0,13.8,13.8,0.0016941973739940702,True
166536,884524,3,0,31,31,0,3,0,3,0.0,10.333333333333334,10.333333333333334,0.0,False
166536,900192,2,0,10,10,1,3,0,2,0.0,5.0,5.0,0.0,True
166536,900194,61,3,1335,1205,49,110,0,58,0.04918032786885246,20.775862068965516,21.885245901639344,0.0,True
166536,925826,169,1,1178,1174,539,708,7,168,0.005917159763313609,6.988095238095238,6.970414201183432,0.009887005649717515,True
166536,925828,171,0,1064,1064,475,646,0,171,0.0,6.222222222222222,6.222222222222222,0.0,True
166541,908834,23,0,781,781,2,25,0,23,0.0,33.95652173913044,33.95652173913044,0.0,True
166541,908958,1010,4,27811,27694,132,1142,29,1006,0.0039603960396039604,27.52882703777336,27.535643564356434,0.025394045534150613,True
166541,908960,756,14,17704,17300,116,872,33,742,0.018518518518518517,23.315363881401616,23.417989417989418,0.03784403669724771,True
166541,910958,13,0,709,709,0,13,2,13,0.0,54.53846153846154,54.53846153846154,0.15384615384615385,False
166548,946468,1,0,25,25,0,1,0,1,0.0,25.0,25.0,0.0,False
166582,885876,1152,24,10500,10189,64897,66049,3,1128,0.020833333333333332,9.032801418439716,9.114583333333334,4.5420823933746156e-05,True
166582,885890,1363,27,12395,12126,64653,66016,0,1336,0.019809244314013204,9.076347305389222,9.09391049156273,0.0,True
166582,925922,456,11,3051,2951,21754,22210,0,445,0.02412280701754386,6.631460674157303,6.690789473684211,0.0,True
166585,889638,4,0,58,58,0,4,0,4,0.0,14.5,14.5,0.0,False
166604,893400,3,0,70,70,3,6,2,3,0.0,23.333333333333332,23.333333333333332,0.3333333333333333,True
166604,893402,368,3,5970,5907,56,424,9,365,0.008152173913043478,16.183561643835617,16.222826086956523,0.02122641509433962,True
166604,893420,209,1,4355,4318,36,245,4,208,0.004784688995215311,20.759615384615383,20.83732057416268,0.0163265306122449,True
166609,886146,1,0,9,9,51,52,0,1,0.0,9.0,9.0,0.0,True
166609,887992,0,0,0,0,47,47,0,0,,,,0.0,True
166609,892798,1,0,43,43,36,37,0,1,0.0,43.0,43.0,0.0,True
166609,892800,0,0,0,0,10,10,0,0,,,,0.0,True
166609,895370,0,0,0,0,10,10,0,0,,,,0.0,True
166619,897872,4,1,82,52,53,57,4,3,0.25,17.333333333333332,20.5,0.07017543859649122,True
166636,890582,114,1,1465,1460,67,181,6,113,0.008771929824561403,12.920353982300885,12.850877192982455,0.03314917127071823,True
166649,887416,22,0,369,369,0,22,0,22,0.0,16.772727272727273,16.772727272727273,0.0,False
166658,890402,548,0,5709,5709,1380,1928,1,548,0.0,10.417883211678832,10.417883211678832,0.0005186721991701245,True
166658,890404,582,2,6178,6161,1484,2066,5,580,0.003436426116838488,10.622413793103448,10.615120274914089,0.002420135527589545,True
166658,890406,474,5,4444,4380,1347,1821,2,469,0.010548523206751054,9.339019189765459,9.375527426160337,0.001098297638660077,True
166658,890410,16,0,108,108,1353,1369,5,16,0.0,6.75,6.75,0.003652300949598247,True
166658,890412,29,0,503,503,1344,1373,1,29,0.0,17.344827586206897,17.344827586206897,0.0007283321194464676,True
166658,890416,0,0,0,0,1380,1380,0,0,,,,0.0,True
166658,890420,0,0,0,0,746,746,0,0,,,,0.0,True
166658,890422,0,0,0,0,487,487,0,0,,,,0.0,True
166658,891152,0,0,0,0,286,286,0,0,,,,0.0,True
166658,891154,0,0,0,0,603,603,3,0,,,,0.004975124378109453,True
166658,891156,0,0,0,0,24,24,0,0,,,,0.0,True
166658,891158,0,0,0,0,305,305,2,0,,,,0.006557377049180328,True
166658,891160,0,0,0,0,426,426,0,0,,,,0.0,True
166658,891162,0,0,0,0,114,114,0,0,,,,0.0,True
166658,891166,0,0,0,0,275,275,0,0,,,,0.0,True
166658,891170,0,0,0,0,219,219,0,0,,,,0.0,True
166658,955436,1,0,23,23,0,1,0,1,0.0,23.0,23.0,0.0,False
166660,887802,20,0,258,258,125,145,1,20,0.0,12.9,12.9,0.006896551724137931,True
166660,932460,29,1,489,471,0,29,0,28,0.034482758620689655,16.821428571428573,16.862068965517242,0.0,False
166666,889640,2,0,27,27,0,2,0,2,0.0,13.5,13.5,0.0,False
166669,888406,9,1,255,238,6,15,0,8,0.1111111111111111,29.75,28.333333333333332,0.0,True
166671,888520,6,0,94,94,0,6,0,6,0.0,15.666666666666666,15.666666666666666,0.0,False
166677,890618,78,1,89,88,279,357,0,77,0.01282051282051282,1.1428571428571428,1.141025641025641,0.0,True
166678,888868,23,1,458,443,54,77,18,22,0.043478260869565216,20.136363636363637,19.91304347826087,0.23376623376623376,True
166678,900892,358,3,2445,2431,1023,1381,39,355,0.008379888268156424,6.847887323943662,6.829608938547486,0.028240405503258507,True
166678,900894,114,1,1359,1347,228,342,10,113,0.008771929824561403,11.920353982300885,11.921052631578947,0.029239766081871343,True
166678,925808,11,0,209,209,0,11,2,11,0.0,19.0,19.0,0.18181818181818182,False
166678,934608,10,0,135,135,0,10,0,10,0.0,13.5,13.5,0.0,False
166678,942214,3,0,30,30,0,3,2,3,0.0,10.0,10.0,0.6666666666666666,False
166680,891744,5,0,107,107,9,14,0,5,0.0,21.4,21.4,0.0,True
166680,891746,0,0,0,0,37,37,0,0,,,,0.0,True
166680,908984,0,0,0,0,13,13,0,0,,,,0.0,True
166680,915614,2,0,56,56,76,78,0,2,0.0,28.0,28.0,0.0,True
166680,916596,0,0,0,0,30,30,0,0,,,,0.0,True
166680,917234,5,0,69,69,1220,1225,2,5,0.0,13.8,13.8,0.0016326530612244899,True
166680,919418,0,0,0,0,2,2,0,0,,,,0.0,True
166680,932050,0,0,0,0,145,145,0,0,,,,0.0,True
166680,932088,0,0,0,0,12,12,0,0,,,,0.0,True
166680,932498,1,0,11,11,341,342,0,1,0.0,11.0,11.0,0.0,True
166680,932500,9,0,159,159,1189,1198,0,9,0.0,17.666666666666668,17.666666666666668,0.0,True
166680,932502,5,0,81,81,756,761,0,5,0.0,16.2,16.2,0.0,True
166680,941628,1,0,19,19,147,148,0,1,0.0,19.0,19.0,0.0,True
166680,943050,0,0,0,0,85,85,0,0,,,,0.0,True
166680,950444,0,0,0,0,95,95,1,0,,,,0.010526315789473684,True
166680,954642,0,0,0,0,417,417,0,0,,,,0.0,True
166680,960294,1,0,36,36,296,297,0,1,0.0,36.0,36.0,0.0,True
